40 22
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 4 7 2 2 7 2 4 4 7 2 7 7 7 4 2 4 7 7 4 7 7 7 7 2 7 7 7 4 7 7 7 7 7 4 2 7 5 7 0
0 7 7 3 2 7 5 7 4 7 2 7 7 7 2 2 2 7 7 2 7 4 7 7 7 7 4 7 7 4 7 4 7 7 7 2 7 2 4 0
0 7 7 7 7 2 7 7 4 5 7 7 4 7 7 7 7 2 7 7 7 7 7 4 7 2 2 4 7 7 7 7 7 7 7 2 7 2 2 0
0 5 7 2 7 7 2 4 2 4 7 7 4 7 7 7 7 2 7 7 7 4 7 7 7 7 7 7 4 7 4 4 7 7 7 7 7 7 2 0
0 4 7 2 7 7 7 2 7 7 4 7 2 2 7 7 4 7 2 2 5 7 7 7 7 7 7 7 4 7 4 4 7 7 7 7 7 7 2 0
0 4 4 7 7 4 7 4 7 7 2 7 7 7 4 7 7 7 7 7 7 4 7 4 4 7 7 7 7 7 7 4 7 7 5 2 2 7 7 0
0 7 7 4 7 2 2 4 7 4 7 4 4 7 7 7 2 7 7 7 7 4 7 4 4 7 7 7 7 7 7 2 7 7 4 7 2 7 4 0
0 7 7 2 7 7 7 5 7 7 7 7 7 7 5 7 4 7 7 2 2 4 7 7 4 7 2 7 2 4 7 7 2 4 7 7 5 7 4 0
0 4 7 4 7 7 7 7 2 7 2 2 7 7 5 7 4 7 7 2 2 4 7 7 4 7 7 5 7 2 7 7 7 2 7 7 4 7 2 0
0 7 4 7 2 2 7 7 7 7 7 4 4 2 4 7 7 5 7 2 7 2 4 7 7 2 4 7 7 7 2 4 7 7 5 7 4 7 7 0
0 2 7 2 2 7 7 7 7 7 7 4 4 2 4 7 7 4 7 2 7 2 2 7 7 7 2 7 7 4 7 2 2 7 7 4 7 2 2 0
0 7 2 7 4 1 4 7 2 7 7 7 2 2 4 7 7 4 7 7 7 7 2 7 7 7 4 7 7 7 7 7 2 2 7 4 7 2 2 0
0 7 2 7 4 7 4 7 2 7 5 7 2 7 2 4 7 7 2 4 7 7 7 7 4 7 7 4 7 4 4 7 7 7 7 2 7 7 7 0
0 2 7 7 2 4 2 4 7 7 4 7 7 7 7 2 7 7 7 5 7 7 7 2 7 4 2 7 7 7 7 7 7 2 7 2 2 7 5 0
0 2 7 7 7 2 2 4 7 7 2 7 5 7 7 7 2 4 7 7 4 7 4 7 7 7 4 7 2 4 7 7 7 7 7 7 2 7 7 0
0 2 7 5 7 7 7 7 4 7 2 2 7 7 4 7 2 2 4 7 7 7 7 7 7 7 4 7 2 4 7 7 7 7 7 7 2 7 7 0
0 7 7 4 7 7 7 7 2 7 7 7 4 7 7 7 7 7 7 4 7 4 4 7 7 7 7 7 7 2 7 7 4 7 2 7 7 7 2 0
0 4 7 2 2 7 7 4 7 2 2 7 7 7 2 7 7 7 7 4 7 4 4 7 7 7 7 7 7 2 7 7 4 5 7 7 4 7 7 0
0 2 7 7 7 4 7 7 7 7 7 7 4 7 4 5 7 7 7 7 7 7 4 7 7 7 2 2 7 7 2 4 7 7 5 7 2 7 4 0
0 4 4 7 7 7 2 7 7 7 7 7 4 7 4 5 7 7 7 7 7 7 2 7 7 4 7 2 5 7 5 7 4 4 7 4 7 7 7 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
